department_name,department_url,department_course_num,department_course_name,department_course_credit_type,department_course_url
Urban Planning (URBDP),https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP 586,IMPLEMENT PRES,,https://www.washington.edu/students/crscat/urbdes.html#urbdp586
Urban Planning (URBDP),https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP 592,DOCTORAL SMNR II,,https://www.washington.edu/students/crscat/urbdes.html#urbdp592
Urban Planning (URBDP),https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP 598,SPECIAL TOPICS,,https://www.washington.edu/students/crscat/urbdes.html#urbdp598
Urban Planning (URBDP),https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP 600,INDEPNDNT STDY/RSCH,,https://www.washington.edu/students/crscat/urbdes.html#urbdp600
Urban Planning (URBDP),https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP 700,MASTERS THESIS,,https://www.washington.edu/students/crscat/urbdes.html#urbdp700
Urban Planning (URBDP),https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP 800,DOCTORAL DISSERTATN,,https://www.washington.edu/students/crscat/urbdes.html#urbdp800
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 199,ACCTG PROB SOLVING,,https://www.washington.edu/students/crscat/acctg.html#acctg199
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 215,ACCTG & FIN REPRTNG,,https://www.washington.edu/students/crscat/acctg.html#acctg215
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 219,ACCOUNTING ESSNTLS,,https://www.washington.edu/students/crscat/acctg.html#acctg219
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 225,MANAGERIAL ACCTG,,https://www.washington.edu/students/crscat/acctg.html#acctg225
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 301,INTERMED ACCTG I,,https://www.washington.edu/students/crscat/acctg.html#acctg301
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 302,INTERMED ACCTG II,,https://www.washington.edu/students/crscat/acctg.html#acctg302
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 311,COST ACCOUNTING,,https://www.washington.edu/students/crscat/acctg.html#acctg311
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 320,ACCTG ANALYTICS,,https://www.washington.edu/students/crscat/acctg.html#acctg320
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 321,TAX EFF OF BUS DECS,,https://www.washington.edu/students/crscat/acctg.html#acctg321
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 411,AUDIT STANDRDS PRIN,,https://www.washington.edu/students/crscat/acctg.html#acctg411
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 440,ACC & FIN MGT DEC,,https://www.washington.edu/students/crscat/acctg.html#acctg440
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 450,BUSINESS TAXATION,,https://www.washington.edu/students/crscat/acctg.html#acctg450
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 499,UNDERGRAD RESEARCH,,https://www.washington.edu/students/crscat/acctg.html#acctg499
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 501,MANAGERIAL ACCTG,,https://www.washington.edu/students/crscat/acctg.html#acctg501
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 531,TAX-TIMING-PERIODS,,https://www.washington.edu/students/crscat/acctg.html#acctg531
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 535,CORPORATIONS II,,https://www.washington.edu/students/crscat/acctg.html#acctg535
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 537,CONDUITS I,,https://www.washington.edu/students/crscat/acctg.html#acctg537
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 540,TAX ETHICS AND CMU,,https://www.washington.edu/students/crscat/acctg.html#acctg540
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 545,STATE & LOCAL TAX,,https://www.washington.edu/students/crscat/acctg.html#acctg545
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 575,INTERNSHIP,,https://www.washington.edu/students/crscat/acctg.html#acctg575
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 576,EXP LEARNING PROJ,,https://www.washington.edu/students/crscat/acctg.html#acctg576
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 579,SPEC TOPICS ACCTNG,,https://www.washington.edu/students/crscat/acctg.html#acctg579
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,10166,PCAR,,https://www.washington.edu/students/maps/map.cgi?PCAR
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 580,PHD INTRO ACCT RES,,https://www.washington.edu/students/crscat/acctg.html#acctg580
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 599,DOCTORAL SMNR-ACCTG,,https://www.washington.edu/students/crscat/acctg.html#acctg599
Accounting (ACCTG),https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG 600,INDEPNDNT STDY/RSCH,,https://www.washington.edu/students/crscat/acctg.html#acctg600
Administration (ADMIN),https://www.washington.edu/students/timeschd/WIN2021/admin.html,,,,
Business Administration (B A),https://www.washington.edu/students/timeschd/WIN2021/ba.html,B A 390,BUS HONORS SEMINAR,,https://www.washington.edu/students/crscat/ba.html#ba390
Business Administration (B A),https://www.washington.edu/students/timeschd/WIN2021/ba.html,B A 490,SPECIAL TOPICS,,https://www.washington.edu/students/crscat/ba.html#ba490
Business Administration (B A),https://www.washington.edu/students/timeschd/WIN2021/ba.html,10668,PCAR,,https://www.washington.edu/students/maps/map.cgi?PCAR
Business Administration (B A),https://www.washington.edu/students/timeschd/WIN2021/ba.html,B A 495,BUS INTERNSHIP,,https://www.washington.edu/students/crscat/ba.html#ba495
Business Administration (B A),https://www.washington.edu/students/timeschd/WIN2021/ba.html,B A 501,BUSINESS ADMIN II,,https://www.washington.edu/students/crscat/ba.html#ba501
Business Administration (B A),https://www.washington.edu/students/timeschd/WIN2021/ba.html,10676,BAG,,https://www.washington.edu/students/maps/map.cgi?BAG
Business Administration (B A),https://www.washington.edu/students/timeschd/WIN2021/ba.html,B A 542,ENVIR MGMT II,,https://www.washington.edu/students/crscat/ba.html#ba542
Business Administration (B A),https://www.washington.edu/students/timeschd/WIN2021/ba.html,B A 560,CO-OP IN BUSINESS,,https://www.washington.edu/students/crscat/ba.html#ba560
Business Administration (B A),https://www.washington.edu/students/timeschd/WIN2021/ba.html,B A 578,STRG MGMT PRACTICUM,,https://www.washington.edu/students/crscat/ba.html#ba578
Business Administration (B A),https://www.washington.edu/students/timeschd/WIN2021/ba.html,B A 800,DOCTORAL DISSERTATN,,https://www.washington.edu/students/crscat/ba.html#ba800
Business Administration Research Methods (BA RM),https://www.washington.edu/students/timeschd/WIN2021/barm.html,BA RM 591,BEHAVRL RSCH-APPLIC,,https://www.washington.edu/students/crscat/barm.html#barm591
Business Analytics (BUS AN),https://www.washington.edu/students/timeschd/WIN2021/busan.html,BUS AN 501,NEGOTIATIONS,,https://www.washington.edu/students/crscat/busan.html#busan501
Business Analytics (BUS AN),https://www.washington.edu/students/timeschd/WIN2021/busan.html,BUS AN 506,OPS & SUPPLY CHN MGT,,https://www.washington.edu/students/crscat/busan.html#busan506
Business Analytics (BUS AN),https://www.washington.edu/students/timeschd/WIN2021/busan.html,BUS AN 514,ANLTS FOR FIRM DEC,,https://www.washington.edu/students/crscat/busan.html#busan514
Business Analytics (BUS AN),https://www.washington.edu/students/timeschd/WIN2021/busan.html,BUS AN 516,OPS RESCH DATA ANLT,,https://www.washington.edu/students/crscat/busan.html#busan516
Business Analytics (BUS AN),https://www.washington.edu/students/timeschd/WIN2021/busan.html,BUS AN 550,BUS AN LEADER SERIES,,https://www.washington.edu/students/crscat/busan.html#busan550
Business Analytics (BUS AN),https://www.washington.edu/students/timeschd/WIN2021/busan.html,BUS AN 600,INDEPNDNT STDY/RSCH,,https://www.washington.edu/students/crscat/busan.html#busan600
Business Communications (B CMU),https://www.washington.edu/students/timeschd/WIN2021/buscomm.html,B CMU 301,STRATEGIC CMU,,https://www.washington.edu/students/crscat/buscomm.html#bcmu301
Business Communications (B CMU),https://www.washington.edu/students/timeschd/WIN2021/buscomm.html,B CMU 600,INDPNT STDY OR RSRCH,,https://www.washington.edu/students/crscat/buscomm.html#bcmu600
Business Economics (B ECON),https://www.washington.edu/students/timeschd/WIN2021/busecon.html,B ECON 300,MANAGERIAL ECON,,https://www.washington.edu/students/crscat/busecon.html#becon300
Business Economics (B ECON),https://www.washington.edu/students/timeschd/WIN2021/busecon.html,B ECON 499,UNDERGRAD RESEARCH,,https://www.washington.edu/students/crscat/busecon.html#becon499
Business Economics (B ECON),https://www.washington.edu/students/timeschd/WIN2021/busecon.html,B ECON 501,ANYLS GLB ECON COND,,https://www.washington.edu/students/crscat/busecon.html#becon501
Business Economics (B ECON),https://www.washington.edu/students/timeschd/WIN2021/busecon.html,B ECON 510,MICROECON FOR MGRS,,https://www.washington.edu/students/crscat/busecon.html#becon510
Business Economics (B ECON),https://www.washington.edu/students/timeschd/WIN2021/busecon.html,B ECON 560,STUDENT INV FUND,,https://www.washington.edu/students/crscat/busecon.html#becon560
Business Economics (B ECON),https://www.washington.edu/students/timeschd/WIN2021/busecon.html,B ECON 600,INDEPNDNT STDY/RSCH,,https://www.washington.edu/students/crscat/busecon.html#becon600
Business Policy (B POL),https://www.washington.edu/students/timeschd/WIN2021/bpol.html,,,,
E-Business (EBIZ),https://www.washington.edu/students/timeschd/WIN2021/ebiz.html,,,,
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE 370,INTRO TO ENTREP,,https://www.washington.edu/students/crscat/entre.html#entre370
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE 422,INNOVATION STRATEGY,,https://www.washington.edu/students/crscat/entre.html#entre422
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE 440,BUS PLAN PRACTICUM,,https://www.washington.edu/students/crscat/entre.html#entre440
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE 457,ENTREPRENEURIAL FIN,,https://www.washington.edu/students/crscat/entre.html#entre457
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE 459,VENTURE INVESTING,,https://www.washington.edu/students/crscat/entre.html#entre459
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE 472,CREATING A COMPANY I,,https://www.washington.edu/students/crscat/entre.html#entre472
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE 473,CREATING A COMPANYII,,https://www.washington.edu/students/crscat/entre.html#entre473
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE 490,SPECIAL TOPICS ENTRE,,https://www.washington.edu/students/crscat/entre.html#entre490
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE 509,ENTR FOUNDATIONS,,https://www.washington.edu/students/crscat/entre.html#entre509
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE 522,INNOV STRATEGY,,https://www.washington.edu/students/crscat/entre.html#entre522
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE 532,SOFTWARE ENTREP,,https://www.washington.edu/students/crscat/entre.html#entre532
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE 540,BUSINESS PLAN PRACT,,https://www.washington.edu/students/crscat/entre.html#entre540
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE 557,ENTREPRENEURIAL FIN,,https://www.washington.edu/students/crscat/entre.html#entre557
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,14464,CSE2,,https://www.washington.edu/students/maps/map.cgi?CSE2
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE 566,ENTREPRENURL MKTG II,,https://www.washington.edu/students/crscat/entre.html#entre566
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,14465,EXED,,https://www.washington.edu/students/maps/map.cgi?EXED
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE 570,PERSUASION: PITCH&PR,,https://www.washington.edu/students/crscat/entre.html#entre570
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,14466,GWN,,https://www.washington.edu/students/maps/map.cgi?GWN
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE 575,ENTRE LEADERSHIP,,https://www.washington.edu/students/crscat/entre.html#entre575
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,14467,EXED,,https://www.washington.edu/students/maps/map.cgi?EXED
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE 579,SPEC TOPICS ENTREP,,https://www.washington.edu/students/crscat/entre.html#entre579
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE 581,THEORET FOUND ENTRE,,https://www.washington.edu/students/crscat/entre.html#entre581
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE 595,VENTURE PLAN&EXECUTE,,https://www.washington.edu/students/crscat/entre.html#entre595
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,14473,PAA,,https://www.washington.edu/students/maps/map.cgi?PAA
Entrepreneurship (ENTRE),https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE 600,INDEP ST IN ENTREP,,https://www.washington.edu/students/crscat/entre.html#entre600
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN 205,PERS FIN LIT,,https://www.washington.edu/students/crscat/finance.html#fin205
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN 350,BUSINESS FINANCE,,https://www.washington.edu/students/crscat/finance.html#fin350
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN 428,INTL FINANCIAL MGMT,,https://www.washington.edu/students/crscat/finance.html#fin428
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN 454,VALUATION INV FIN,,https://www.washington.edu/students/crscat/finance.html#fin454
